,School_Name,Address,School_Type,Accessible
409,RICHARDSON,6018 S KARLOV,MS,Usable
410,ROBESON HS,6835 S NORMAL BLVD,HS,Not Accessible
411,ROBINSON,4225 S LAKE PARK AVE,ES,Not Accessible
412,ROGERS,7345 N WASHTENAW AVE,ES,First Floor Usable
413,ROOSEVELT HS,3436 W WILSON AVE,HS,Usable
414,ROWE,1424 N CLEAVER ST,ES,Usable
415,RUDOLPH,110 N PAULINA ST,ES,Usable
416,RUGGLES,7831 S PRAIRIE AVE,ES,Not Accessible
417,RUIZ,2410 S LEAVITT ST,ES,Not Accessible
418,RYDER,8716 S WALLACE ST,ES,Usable
419,SABIN,2216 W HIRSCH ST,ES,Not Accessible
420,SALAZAR,160 W WENDELL ST,ES,Not Accessible
421,SANDOVAL,5534 S ST LOUIS AVE,ES,Usable
422,SAUCEDO,2850 W 24TH BLVD,ES,Not Accessible
423,SAUGANASH,6040 N KILPATRICK AVE,ES,Usable
424,SAWYER,5248 S SAWYER AVE,ES,Not Accessible
425,SAYRE,1850 N NEWLAND AVE,ES,First Floor Usable
426,SCAMMON,4201 W HENDERSON ST,ES,Not Accessible
427,SCHMID,9755 S GREENWOOD AVE,ES,Not Accessible
428,SCHUBERT,2727 N LONG AVE,ES,First Floor Usable
429,SCHURZ HS,3601 N MILWAUKEE AVE,HS,Usable
430,SENN HS,5900 N GLENWOOD AVE,HS,Usable
431,SEWARD,4600 S HERMITAGE AVE,ES,Usable
432,SHERIDAN,533 W 27TH ST,ES,Usable
433,SHERMAN,1000 W 52ND ST,ES,Not Accessible
434,SHERWOOD,245 W 57TH ST,ES,Not Accessible
435,SHIELDS,4250 S ROCKWELL ST,ES,Not Accessible
436,SHIELDS MIDDLE,2611 W 48TH ST,ES,Usable
437,SHOESMITH,1330 E 50TH ST,ES,First Floor Usable
438,SHOOP,11140 S BISHOP ST,ES,Usable
439,SIMEON HS,8147 S VINCENNES AVE,HS,Usable
440,SIMPSON HS,1321 S PAULINA ST,HS,First Floor Usable
441,SKINNER,1260 W ADAMS ST,ES,Usable
442,SKINNER NORTH,640 W SCOTT ST,ES,Usable
443,SMITH,744 E 103RD ST,ES,Not Accessible
444,SMYSER,4310 N MELVINA AVE,ES,First Floor Usable
445,SMYTH,1059 W 13TH ST,ES,First Floor Usable
446,SOLOMON,6206 N HAMLIN AVE,ES,Usable
447,SOLORIO HS,5400 S ST LOUIS AVE,HS,Usable
448,SOUTH LOOP,1212 S PLYMOUTH CT,ES,Usable
449,SOUTH SHORE ES,1415 E 70TH ST,ES,Not Accessible
450,SOUTH SHORE INTL HS,1955 E 75TH ST,HS,Usable
451,SOUTHEAST,3930 E 105TH,ES,Usable
452,SOUTHSIDE HS,7342 S HOYNE AVE,HS,Usable
453,SPENCER,214 N LAVERGNE AVE,ES,Usable
454,SPRY ES,2400 S MARSHALL BLVD,ES/HS,Not Accessible
455,STAGG,7424 S MORGAN ST,ES,Not Accessible
456,STEINMETZ HS,3030 N MOBILE AVE,HS,Not Accessible
457,STEM,1522 W FILLMORE ST,ES,Usable
458,STEVENSON,8010 S KOSTNER AVE,ES,Usable
459,STOCK,7507 W BIRCHWOOD AVE,ES,Usable
460,STONE,6239 N LEAVITT ST,ES,Usable
461,STOWE,3444 W WABANSIA AVE,ES,Not Accessible
462,SUDER,2022 W WASHINGTON BLVD,ES,Usable
463,SULLIVAN HS,6631 N BOSWORTH AVE,HS,First Floor Usable
464,SUMNER,4320 W FIFTH AVE,ES,Not Accessible
465,SUTHERLAND,10015 S LEAVITT ST,ES,Usable
466,SWIFT,5900 N WINTHROP AVE,ES,Usable
467,TAFT HS,6530 W BRYN MAWR AVE,HS,Usable
468,TALCOTT,1840 W OHIO ST,ES,Usable
469,TALMAN,5450 S TALMAN AVE,ES,Not Accessible
470,TANNER,7350 S EVANS AVE,ES,Usable
471,TARKINGTON,3330 W 71ST ST,ES,Usable
472,TAYLOR,9912 S AVENUE H,ES,Not Accessible
473,TEAM HS,6201 S STEWART AVE,HS,First Floor Usable
474,THOMAS,3625 S HOYNE AVE,ES,Not Accessible
475,THORP J,8914 S BUFFALO AVE,ES,Not Accessible
476,THORP O,6024 W WARWICK AVE,ES,Not Accessible
477,TILDEN HS,4747 S UNION AVE,HS,Not Accessible
478,TILL,6543 S CHAMPLAIN AVE,ES,Usable
479,TILTON,223 N KEELER AVE,ES,Usable
480,TONTI,5815 S HOMAN AVE,ES,Not Accessible
481,TURNER-DREW,9300 S PRINCETON AVE,ES,Usable
482,TWAIN,5134 S LOTUS AVE,ES,First Floor Usable
483,U OF C - DONOGHUE,707 E 37TH ST,ES,First Floor Usable
484,UPLIFT HS,900 W WILSON AVE,HS,Usable
485,VANDERPOEL,9510 S PROSPECT AVE,ES,Usable
486,VAUGHN HS,4355 N LINDER AVE,HS,Usable
487,VICK,2554 W 113TH ST,ES,Not Accessible
488,VOISE HS,231 N PINE AVE,HS,Usable
489,VOLTA,4950 N AVERS AVE,ES,Not Accessible
490,VON LINNE,3221 N SACRAMENTO AVE,ES,Not Accessible
491,VON STEUBEN HS,5039 N KIMBALL AVE,HS,Usable
492,WACKER,9746 S MORGAN ST,ES,Usable
493,WADSWORTH,6650 S ELLIS AVE,ES,Usable
494,WALSH,2015 S PEORIA ST,ES,Usable
495,WARD J,2701 S SHIELDS AVE,ES,Not Accessible
496,WARD L,646 N LAWNDALE AVE,ES,Usable
497,WARREN,9239 S JEFFERY AVE,ES,Not Accessible
498,WASHINGTON G ES,3611 E 114TH ST,ES,Usable
499,WASHINGTON H ES,9130 S UNIVERSITY AVE,ES,Usable
500,WASHINGTON HS,3535 E 114TH ST,HS,Usable
501,WATERS,4540 N CAMPBELL AVE,ES,First Floor Usable
502,WEBSTER,4055 W ARTHINGTON ST,ES,Not Accessible
503,WELLS ES,249 E 37TH ST,ES,Usable
504,WELLS HS,936 N ASHLAND AVE,HS,First Floor Usable
505,WENTWORTH,1340 W 71ST ST,ES,Not Accessible
506,WEST PARK,1425 N TRIPP AVE,ES,Usable
507,WEST RIDGE,6700 N WHIPPLE ST,ES,Usable
508,WESTCOTT,409 W 80TH ST,ES,Not Accessible
509,WESTINGHOUSE HS,3223 W FRANKLIN BLVD,HS,Usable
510,WHISTLER,11533 S ADA ST,ES,Usable
511,WHITE,1136 W 122ND ST,ES,Not Accessible
512,WHITNEY,2815 S KOMENSKY AVE,ES,Not Accessible
513,WHITTIER,1900 W 23RD ST,ES,Not Accessible
514,WILDWOOD,6950 N HIAWATHA AVE,ES,Usable
515,WILLIAMS HS,4934 S WABASH AVE,HS,Usable
516,WOODLAWN,6657 S KIMBARK AVE,ES,Not Accessible
517,WOODSON,4414 S EVANS AVE,ES,First Floor Usable
518,WORLD LANGUAGE HS,3120 S KOSTNER AVE,HS,Usable
519,YATES,1839 N RICHMOND ST,ES,Not Accessible
520,YOUNG ES,1434 N PARKSIDE AVE,ES,Not Accessible
521,YOUNG HS,211 S LAFLIN ST,HS,Usable
522,YOUNG WOMENS HS,2641 S CALUMET AVE,HS,First Floor Usable
523,ZAPATA,2728 S KOSTNER AVE,ES,Usable
